ID,Realm,Status,Severity,Affected Team,Affected Products,Root Cause Services,Year,MTTD (hours),MTTR (hours),Incident Duration (hours)
269,Wellpass,Closed,Critical,WP Access Experience | WP Partner Experience,Wellpass,Class Booking MWA,Aug 2026,0.79,0.92,1.22
267,Wellpass,Closed,Critical,WP Discovery,Wellpass,Gymfinder-backend,Aug 2026,0.53,0.58,0.67
266,Wellpass,Closed,Critical,WP Discovery | WP Access Experience,Wellpass,Gymfinder-backend,Aug 2026,0.42,0.46,0.59
265,Wellpass,Documenting,Critical,WP Offer Acquisition | WP Company Growth,,Qualitrain-User-Service,Aug 2026,1.97,0.6,0.6
264,Core,Closed,Critical,BMA | Users and Locations,,GCP,Aug 2026,2.23,2.48,2.48
264,Apps,Closed,Critical,BMA | Users and Locations,,GCP,Aug 2026,2.23,2.48,2.48
262,Realm Support Services,Closed,Critical,SRE | api-platform | Users and Locations,Partner MMS Integrations,partner-gateway,Jul 2026,0.03,0.18,0.18
262,Core,Closed,Critical,SRE | api-platform | Users and Locations,Partner MMS Integrations,partner-gateway,Jul 2026,0.03,0.18,0.18
259,Wellpass,Closed,Critical,WP Offer Acquisition,Wellpass,Qualitrain-User-Service,Jul 2026,1.05,1.36,1.56
256,Wellpass,Closed,Critical,WP Company Growth,Wellpass,HRIS-connector | Qualitrain-Web-Gateway,Jul 2026,,,
255,Machines Realm II - MSW & FH,Closed,Critical,MSW,Smart Strength,Device-Gateway,Jul 2026,1.7,1.93,1.93
251,Machines Realm II - MSW & FH,Closed,Critical,MSW,,Partner API,Jul 2026,0.1,0.72,0.95
250,Wellpass,Closed,Non-Critical,WP Discovery,Wellpass,Mobile-Api,Jun 2026,2.9,3.58,68.62
249,Wellpass,Closed,Critical,WP Access Experience,Wellpass,Anticorr-Mindbody | Anticorr-Monday,Jun 2026,5.92,6.2,6.5
248,Unassigned Realm,Closed,Non-Critical,Unassigned,,,Jun 2026,1.3,1.4,1.55
247,Wellpass,Closed,Critical,WP Partner Experience,Wellpass,Operator Portal Backend,Jun 2026,12.26,,12.89
246,Machines Realm II - MSW & FH,Closed,Critical,MSW,Smart Strength | Smart Flex,GCP | Machine-Training | Machine-User-Settings,Jun 2026,0.37,1.5,3.53
245,Wellpass,Closed,Critical,WP Discovery | WP Access Experience,Wellpass,Gymfinder-backend,May 2026,0.75,0.56,0.91
242,Wellpass,Closed,Critical,WP Access Experience | WP Partner Integrations,Gymlib,Anticorr-Monday,May 2026,18.48,139.21,139.35
241,Unmapped: Smart Cardio,Closed,Critical,BMA-Core | Core Workouts | Users and Locations | Smart Cardio | MSW | Trainer,Fitness Hub | Smart Cardio | Smart Strength | Trainer App | Branded Member App (BMA),Galaxy | Upds | Measurements,May 2026,5.58,9.25,9.67
241,Core,Closed,Critical,BMA-Core | Core Workouts | Users and Locations | Smart Cardio | MSW | Trainer,Fitness Hub | Smart Cardio | Smart Strength | Trainer App | Branded Member App (BMA),Galaxy | Upds | Measurements,May 2026,5.58,9.25,9.67
241,Apps,Closed,Critical,BMA-Core | Core Workouts | Users and Locations | Smart Cardio | MSW | Trainer,Fitness Hub | Smart Cardio | Smart Strength | Trainer App | Branded Member App (BMA),Galaxy | Upds | Measurements,May 2026,5.58,9.25,9.67
241,Machines Realm II - MSW & FH,Closed,Critical,BMA-Core | Core Workouts | Users and Locations | Smart Cardio | MSW | Trainer,Fitness Hub | Smart Cardio | Smart Strength | Trainer App | Branded Member App (BMA),Galaxy | Upds | Measurements,May 2026,5.58,9.25,9.67
239,Realm Support Services,Closed,Critical,SRE,EGYM Website,DNS,May 2026,22.58,22.91,23.57
236,Wellpass,Closed,Critical,WP Discovery | WP Access Experience,Gymlib,Gymfinder-backend | Gymlib-Backend,Apr 2026,143.53,143.76,143.93
233,Wellpass,Closed,Critical,WP Access Experience,,External (Partner outages etc.),Apr 2026,9.5,32.98,32.98
229,Apps,Closed,Non-Critical,XT | MSW,Smart Strength | Genius,Workout-Streak,Apr 2026,0.75,1.5,5.98
